Variance score,Mean Absolute Error,Mean Square Error,Root Mean Square Error,R2
0.174653649,0.10403642,0.032201797,0.179448591,0.055943322
0.154518962,0.10784932,0.03478812,0.186515738,0.027057328
0.123427689,0.11292368,0.037969694,0.194858137,-0.006755184
0.122108102,0.11730553,0.041560065,0.203862858,-0.00646342
0.121421337,0.12173681,0.045150366,0.212486154,-0.007069634
0.119434297,0.12569132,0.045021992,0.212183864,-0.012261498
0.117850363,0.12962678,0.044915833,0.211933557,-0.017949929
0.11405772,0.13792177,0.051269993,0.226428782,-0.027874308
0.111305952,0.14622809,0.05761102,0.240022954,-0.037620495
0.100067019,0.14161506,0.0548042,0.234102965,-0.045218857
0.087266326,0.1368897,0.052055642,0.228157056,-0.055802489
0.114817798,0.12368377,0.043832093,0.209361156,0.0062935
0.151865721,0.11043203,0.035611518,0.188710142,0.074067622
0.154146492,0.106421374,0.0320584,0.179048594,0.077624776
0.156415761,0.10234559,0.0285632,0.169006507,0.079329505
0.136851907,0.1102752,0.035450008,0.188281724,0.047548182
0.121788442,0.11816314,0.04243706,0.206002577,0.019450136
0.133582175,0.11679362,0.04048665,0.201212944,0.02434273
0.145928741,0.11554903,0.038469866,0.196137365,0.030796711
0.14290756,0.11104645,0.03395744,0.184275447,0.03080231
0.1396209,0.10669103,0.02933636,0.171278602,0.033024155
0.136106193,0.10414148,0.02923163,0.170972601,0.03213686
0.131855607,0.10155062,0.029139936,0.170704235,0.029777712
0.148375928,0.10192458,0.030968854,0.175979698,0.049187627
0.164187729,0.10209369,0.032806724,0.181126266,0.065789363
0.165818751,0.098941535,0.031113494,0.176390176,0.085478601
0.168760121,0.09577915,0.029407108,0.171485009,0.105234094
0.160675585,0.096985765,0.029219031,0.170935752,0.091747833
0.151915252,0.09831801,0.029044027,0.170423081,0.07734233
0.179567695,0.10073435,0.029596549,0.172036474,0.100513667
0.205224633,0.10310304,0.030153692,0.173648184,0.121712793
0.190691352,0.10222735,0.030609163,0.174954744,0.110819672
0.175647795,0.101431176,0.030971583,0.175987451,0.10183942
0.177087903,0.1037228,0.031084027,0.176306628,0.106701869
0.178134501,0.10599987,0.031177023,0.176570166,0.111132735
0.186004877,0.10352656,0.029959025,0.173086755,0.119882701
0.193698823,0.10110564,0.028795592,0.169692641,0.127461123
0.204934895,0.09598872,0.026367405,0.162380434,0.151334497
0.218086898,0.09079301,0.023963325,0.15480092,0.175712539
0.216071784,0.094340816,0.025719104,0.160371769,0.168945845
0.213988662,0.0977262,0.027502023,0.165837338,0.161011995
0.222107649,0.09622642,0.027407799,0.165553009,0.168856528
0.229306519,0.09464235,0.027336087,0.165336285,0.17586323
0.201984465,0.093162574,0.027925344,0.167108779,0.142359557
0.17402178,0.09167644,0.028509434,0.16884737,0.107619829
0.17320025,0.09274456,0.028407723,0.168545907,0.097047468
0.172628582,0.09398432,0.028298914,0.168222812,0.086266693
0.17049551,0.095076,0.02839578,0.168510473,0.080452287
0.1683411,0.09627623,0.028421283,0.168586129,0.077081702
0.158015072,0.0951774,0.02735355,0.165389085,0.075641703
0.147181153,0.09409893,0.026328256,0.162259842,0.072687069
